"Article";"Brand";"CrossArticle";"CrossBrand"
"W7DTC";"Bosch";"101 000 005 AB";"VAG"
"W7DTC";"Bosch";"V99-75-0006";"Vemo"
"0 241 235 633";"Bosch";"99-75-0006";"Vemo"
"0 241 235 643";"Bosch";"99-75-0006";"Vemo"
"0 241 235 633";"Bosch";"V99-75-0006";"Vemo"
"0 241 235 643";"Bosch";"V99-75-0006";"Vemo"
"W7DTC";"Bosch";"99-75-0006";"Vemo"
"100000001101AC";"Dello";"0001330104";"Beru"
"100000001101AC";"Dello";"0900004066";"Beru"
"100000001101AC";"Dello";"Z12";"Beru"
"100000001101AC";"Dello";"14G-8DTU";"Beru"
"100000001101AC";"Dello";"Z75";"Beru"
"100000001101AC";"Dello";"0001335709";"Beru"
"100000001101AC";"Dello";"14-7DTU";"Beru"
"100000001101AC";"Dello";"0 241 235 643";"Bosch"
"100000001101AC";"Dello";"0 241 235 633";"Bosch"
"100000001101AC";"Dello";"W7DTC";"Bosch"
"100000001101AC";"Dello";"261003";"DTW"
"100000001101AC";"Dello";"107 123 FR5";"Hans Pries"
"100000001101AC";"Dello";"107 123 CN5";"Hans Pries"
"100000001101AC";"Dello";"107 123 755";"Hans Pries"
"100000001101AC";"Dello";"107 123 445";"Hans Pries"
"100000001101AC";"Dello";"BP 5 EK-A";"NGK"
"100000001101AC";"Dello";"BP6ET";"NGK"
"100000001101AC";"Dello";"101 000 005 AB";"VAG"
"100000001101AC";"Dello";"000 057 067 A";"VAG"
"100000001101AC";"Dello";"101 000 001 AC";"VAG"
"100000001101AC";"Dello";"V99-75-0006";"Vemo"
"100000001101AC";"Dello";"99-75-0006";"Vemo"
"261003";"DTW";"0001335709";"Beru"
"261003";"DTW";"14G-8DTU";"Beru"
"261003";"DTW";"0001330104";"Beru"
"261003";"DTW";"Z75";"Beru"
"261003";"DTW";"14-7DTU";"Beru"
"261003";"DTW";"Z12";"Beru"
"261003";"DTW";"0900004066";"Beru"
"261003";"DTW";"0 241 235 643";"Bosch"
